nb_item,item_90,item_86,size_cat,packing_type,teammate_experience,subgroup,time_picked,picking_to_processing,total_leadtime,carrier,item_ratio,picked_hour,picked_shift,experience_level,nb_item_x_experience_level,subgroup_median_leadtime,carrier_median_leadtime
7.0,7.0,,L,PACKSIZE,1YEAR,PB90,6:05:05 PM,171.2,277.7,TNT_POST_NL,0.0,18,Afternoon,2,14.0,223.4,169.7
2.0,2.0,,L,PACKSIZE,6MONTH,PB90,5:09:21 PM,11.0,289.1,DHL,0.0,17,Afternoon,1,2.0,223.4,186.1
3.0,2.0,1.0,M,STANDARD,1YEAR,VOLU,9:08:29 PM,32.5,229.7,BPOST,2.0,21,Afternoon,2,6.0,266.4,178.7
2.0,2.0,,L,PACKSIZE,1YEAR,PB90,1:52:40 PM,175.9,217.4,EXTRA_AT_HOME,0.0,13,Morning,2,4.0,223.4,279.5
3.0,1.0,2.0,L,PACKSIZE,6MONTH,HETE,2:24:23 PM,45.6,233.1,BPOST,0.5,14,Morning,1,3.0,196.05,178.7
1.0,1.0,,XL,PACKSIZE,1YEAR,MHET,10:20:28 PM,30.1,168.7,DHL,0.0,22,Afternoon,2,2.0,148.9,186.1
30.0,30.0,,XL,STANDARD,1YEAR,PBVO,11:21:43 AM,25.5,248.2,EXTRA_AT_HOME,0.0,11,Morning,2,60.0,257.1,279.5
2.0,2.0,,XL,STANDARD,1YEAR,PBVO,10:14:18 PM,746.7,348.5,BPOST,0.0,22,Afternoon,2,4.0,257.1,178.7
1.0,1.0,,L,PACKSIZE,1YEAR,MHET,11:11:38 PM,940.6,195.9,TNT_POST_NL,0.0,23,Afternoon,2,2.0,148.9,169.7
4.0,2.0,2.0,XL,STANDARD,1YEAR,VOLU,9:04:18 AM,113.3,396.7,EXTRA_AT_HOME,1.0,9,Morning,2,8.0,266.4,279.5
1.0,1.0,,L,STANDARD,6MONTH,MHET,10:49:25 PM,536.4,110.0,TNT_POST_NL,0.0,22,Afternoon,1,1.0,148.9,169.7
2.0,1.0,1.0,L,PACKSIZE,1YEAR,HETE,8:15:24 AM,339.7,169.1,TNT_POST_NL,1.0,8,Morning,2,4.0,196.05,169.7
2.0,2.0,,L,PACKSIZE,2YEAR,PB90,11:25:55 AM,344.0,249.7,CC_LOG,0.0,11,Morning,3,6.0,223.4,170.45
2.0,1.0,1.0,S,STANDARD,6MONTH,HETS,10:09:23 AM,435.6,207.3,BPOST,1.0,10,Morning,1,2.0,157.4,178.7
6.0,3.0,3.0,M,STANDARD,6MONTH,HETS,12:06:50 PM,135.2,150.2,CHRONOPOSTAPI,1.0,12,Morning,1,6.0,157.4,186.5
5.0,2.0,3.0,L,PACKSIZE,2YEAR,HETE,8:51:39 AM,189.1,188.6,TNT_POST_NL,0.6666666666666666,8,Morning,3,15.0,196.05,169.7
19.0,11.0,8.0,XL,STANDARD,6MONTH,VOLU,11:39:55 AM,176.1,325.0,EXTRA_AT_HOME,1.375,11,Morning,1,19.0,266.4,279.5
3.0,1.0,2.0,S,STANDARD,1YEAR,HETS,1:07:19 PM,129.2,185.5,TNT_POST_NL,0.5,13,Morning,2,6.0,157.4,169.7
5.0,3.0,2.0,XL,STANDARD,6MONTH,VOLU,2:09:11 PM,48.6,301.5,TNT_POST_NL,1.5,14,Morning,1,5.0,266.4,169.7
3.0,1.0,2.0,L,PACKSIZE,6MONTH,HETE,11:52:16 AM,200.0,189.2,CHRONOPOSTAPI,0.5,11,Morning,1,3.0,196.05,186.5
2.0,1.0,1.0,L,PACKSIZE,1YEAR,HETE,8:52:25 PM,706.3,151.1,TNT_POST_NL,1.0,20,Afternoon,2,4.0,196.05,169.7
1.0,1.0,,L,PACKSIZE,6MONTH,MHET,10:51:54 AM,31.4,200.8,UPS_API,0.0,10,Morning,1,1.0,148.9,183.8
5.0,2.0,3.0,S,STANDARD,1YEAR,HETS,12:14:20 PM,136.4,222.7,CHRONOPOSTAPI,0.6666666666666666,12,Morning,2,10.0,157.4,186.5
1.0,1.0,,L,PACKSIZE,2YEAR,MHET,10:32:26 PM,23.4,147.7,TNT_POST_NL,0.0,22,Afternoon,3,3.0,148.9,169.7
4.0,1.0,3.0,M,PACKSIZE,1YEAR,HETE,5:13:51 PM,13.5,162.7,CHRONOPOSTAPI,0.3333333333333333,17,Afternoon,2,8.0,196.05,186.5
5.0,3.0,2.0,M,STANDARD,2YEAR,VOLU,12:08:29 PM,139.6,184.1,TNT_POST_NL,1.5,12,Morning,3,15.0,266.4,169.7
1.0,1.0,,XL,STANDARD,6MONTH,MHET,1:27:06 PM,363.1,121.6,TNT_POST_NL,0.0,13,Morning,1,1.0,148.9,169.7
1.0,1.0,,L,PACKSIZE,6MONTH,MHET,8:03:40 AM,11.8,234.1,CC_LOG,0.0,8,Morning,1,1.0,148.9,170.45
3.0,1.0,2.0,L,STANDARD,3-5YEAR,HETE,9:30:10 AM,226.1,89.7,TNT_POST_NL,0.5,9,Morning,4,12.0,196.05,169.7
2.0,1.0,1.0,L,PACKSIZE,2YEAR,HETE,8:48:26 AM,180.8,224.8,TNT_POST_NL,1.0,8,Morning,3,6.0,196.05,169.7
4.0,1.0,3.0,L,PACKSIZE,1YEAR,HETE,9:08:09 AM,237.6,233.9,TNT_POST_NL,0.3333333333333333,9,Morning,2,8.0,196.05,169.7
7.0,3.0,4.0,M,STANDARD,1YEAR,HETS,8:46:48 PM,926.6,125.4,BPOST,0.75,20,Afternoon,2,14.0,157.4,178.7
1.0,1.0,,XL,STANDARD,1YEAR,MVOL,1:13:48 PM,118.6,50.4,CC_LOG,0.0,13,Morning,2,2.0,50.0,170.45
